,Stadium,Team1,Team2,Won
0,"DY Patil Stadium,",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals won by 3 wickets
1,"Wankhede Stadium,",Chennai Super Kings,Punjab Kings,Chennai Super Kings won by 9 wickets
2,"Wankhede Stadium,",Delhi Daredevils,Rajasthan Royals,Rajasthan Royals won by 105 runs
3,"IS Bindra Stadium,",Punjab Kings,Rajasthan Royals,Punjab Kings won by 41 runs
4,"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians won by 9 wickets
5,"Rajiv Gandhi Intl. Cricket Stadium,",Deccan Chargers,Chennai Super Kings,Chennai Super Kings won by 7 wickets
6,"Sawai Mansingh Stadium,",Rajasthan Royals,Mumbai Indians,Rajasthan Royals won by 5 wickets
7,"Eden Gardens,",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders won by 3 wickets
8,"Rajiv Gandhi Intl. Cricket Stadium,",Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore won by 5 wickets
9,"Arun Jaitley Stadium,",Delhi Daredevils,Mumbai Indians,Delhi Daredevils won by 5 wickets
10,"M. A. Chidambaram Stadium,",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals won by 10 runs
11,"IS Bindra Stadium,",Punjab Kings,Deccan Chargers,Punjab Kings won by 6 wickets
12,"Arun Jaitley Stadium,",Delhi Daredevils,Kolkata Knight Riders,Match abandoned without a ball bowled
13,"M. A. Chidambaram Stadium,",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore won by 14 runs
14,"Wankhede Stadium,",Mumbai Indians,Punjab Kings,Punjab Kings won by 1 run
15,"Eden Gardens,",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals won by 6 wickets
16,"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils won by 5 wickets
17,"Rajiv Gandhi Intl. Cricket Stadium,",Deccan Chargers,Mumbai Indians,Mumbai Indians won by 25 runs
18,"Eden Gardens,",Kolkata Knight Riders,Chennai Super Kings,CSK won by 3 runs (D/L method)
19,"Arun Jaitley Stadium,",Delhi Daredevils,Punjab Kings,Kings XI Punjab won by 6 runs (D/L method)
20,"Sawai Mansingh Stadium,",Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals won by 65 runs
21,"Wankhede Stadium,",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians won by 8 wickets
22,"Arun Jaitley Stadium,",Delhi Daredevils,Deccan Chargers,Delhi Daredevils won by 12 runs
23,"Wankhede Stadium,",Mumbai Indians,Chennai Super Kings,Mumbai Indians won by 9 wickets
24,"Eden Gardens,",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders won by 23 runs
25,"IS Bindra Stadium,",Punjab Kings,Royal Challengers Bangalore,Punjab Kings won by 9 wickets
