Stadium,Team1,Team2,Won
"Rajiv Gandhi Intl. Cricket Stadium,",Rising Pune Supergiant,Mumbai Indians,Mumbai Indians won by 1 run
"M. Chinnaswamy Stadium,",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians won by 6 wickets
"M. Chinnaswamy Stadium,",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders won by 7 wickets (DLS Method)
"Wankhede Stadium,",Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant won by 20 runs
"Arun Jaitley Stadium,",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore won by 10 runs
"Eden Gardens,",Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant won by 9 wickets
"Green Park,",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians won by 9 runs
"Arun Jaitley Stadium,",Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad won by 8 wickets
"Wankhede Stadium,",Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils won by 7 runs
"Green Park,",Mumbai Indians,Punjab Kings,Punjab Kings won by 7 runs
"IS Bindra Stadium,",Gujarat Lions,Delhi Daredevils,Delhi Daredevils won by 2 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Punjab Kings,Kolkata Knight Riders,Punjab Kings won by 14 runs
"IS Bindra Stadium,",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad won by 7 wickets
"M. Chinnaswamy Stadium,",Punjab Kings,Gujarat Lions,Gujarat Lions won by 6 wickets
"Arun Jaitley Stadium,",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders won by 6 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Delhi Daredevils,Mumbai Indians,Mumbai Indians won by 146 runs
"M. Chinnaswamy Stadium,",Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant won by 12 runs
"Arun Jaitley Stadium,",Royal Challengers Bangalore,Punjab Kings,Punjab Kings won by 19 runs
"Eden Gardens,",Delhi Daredevils,Gujarat Lions,Delhi Daredevils won by 7 wickets
"Arun Jaitley Stadium,",Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant won by 4 wickets
"Wankhede Stadium,",Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils won by 6 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant won by 5 wickets
"IS Bindra Stadium,",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians won by 5 wickets
"Saurashtra Cricket Association Stadium,",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad won by 48 runs
"IS Bindra Stadium,",Punjab Kings,Delhi Daredevils,Punjab Kings won by 10 wickets
"Eden Gardens,",Gujarat Lions,Mumbai Indians,Match tied (Mumbai Indians won the Super Over)
"M. Chinnaswamy Stadium,",Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant won by 61 runs
"M. Chinnaswamy Stadium,",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad won by 26 runs
"Wankhede Stadium,",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders won by 7 wickets
