,Stadium,Team1,Team2,Won,Year
0,DY Patil Stadium ,Chennai Super Kings,Rajasthan Royals,RR   ,2008
1,Wankhede Stadium ,Chennai Super Kings,Punjab Kings,CSK   ,2008
2,Wankhede Stadium ,Delhi Daredevils,Rajasthan Royals,RR   ,2008
3,IS Bindra Stadium ,Punjab Kings,Rajasthan Royals,PBKS   ,2008
4,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Mumbai Indians,MI   ,2008
5,Rajiv Gandhi Intl. Cricket Stadium ,Deccan Chargers,Chennai Super Kings,CSK   ,2008
6,Sawai Mansingh Stadium ,Rajasthan Royals,Mumbai Indians,RR   ,2008
7,Eden Gardens ,Kolkata Knight Riders,Punjab Kings,KKR   ,2008
8,Rajiv Gandhi Intl. Cricket Stadium ,Deccan Chargers,Royal Challengers Bangalore,RCB   ,2008
9,Arun Jaitley Stadium ,Delhi Daredevils,Mumbai Indians,DC   ,2008
10,M. A. Chidambaram Stadium ,Chennai Super Kings,Rajasthan Royals,RR   ,2008
11,IS Bindra Stadium ,Punjab Kings,Deccan Chargers,PBKS   ,2008
12,Arun Jaitley Stadium ,Delhi Daredevils,Kolkata Knight Riders,No Result,2008
13,M. A. Chidambaram Stadium ,Chennai Super Kings,Royal Challengers Bangalore,RCB   ,2008
14,Wankhede Stadium ,Mumbai Indians,Punjab Kings,PBKS   ,2008
15,Eden Gardens ,Kolkata Knight Riders,Rajasthan Royals,RR   ,2008
16,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Delhi Daredevils,DC   ,2008
17,Rajiv Gandhi Intl. Cricket Stadium ,Deccan Chargers,Mumbai Indians,MI   ,2008
18,Eden Gardens ,Kolkata Knight Riders,Chennai Super Kings,CSK   ,2008
19,Arun Jaitley Stadium ,Delhi Daredevils,Punjab Kings,PBKS   ,2008
20,Sawai Mansingh Stadium ,Rajasthan Royals,Royal Challengers Bangalore,RR   ,2008
21,Wankhede Stadium ,Mumbai Indians,Kolkata Knight Riders,MI   ,2008
22,Arun Jaitley Stadium ,Delhi Daredevils,Deccan Chargers,DC   ,2008
23,Wankhede Stadium ,Mumbai Indians,Chennai Super Kings,MI   ,2008
24,Eden Gardens ,Kolkata Knight Riders,Delhi Daredevils,KKR   ,2008
25,IS Bindra Stadium ,Punjab Kings,Royal Challengers Bangalore,PBKS   ,2008
26,Sawai Mansingh Stadium ,Rajasthan Royals,Delhi Daredevils,RR   ,2008
27,Rajiv Gandhi Intl. Cricket Stadium ,Deccan Chargers,Kolkata Knight Riders,KKR   ,2008
28,M. A. Chidambaram Stadium ,Chennai Super Kings,Punjab Kings,CSK   ,2008
29,Sawai Mansingh Stadium ,Rajasthan Royals,Deccan Chargers,RR   ,2008
30,Eden Gardens ,Kolkata Knight Riders,Royal Challengers Bangalore,KKR   ,2008
31,Arun Jaitley Stadium ,Delhi Daredevils,Chennai Super Kings,CSK   ,2008
32,DY Patil Stadium ,Mumbai Indians,Rajasthan Royals,MI   ,2008
33,M. A. Chidambaram Stadium ,Chennai Super Kings,Deccan Chargers,SRH   ,2008
34,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Punjab Kings,PBKS   ,2008
35,Sawai Mansingh Stadium ,Rajasthan Royals,Chennai Super Kings,RR   ,2008
36,DY Patil Stadium ,Mumbai Indians,Delhi Daredevils,MI   ,2008
37,IS Bindra Stadium ,Punjab Kings,Kolkata Knight Riders,PBKS   ,2008
38,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Deccan Chargers,RCB   ,2008
39,M. A. Chidambaram Stadium ,Chennai Super Kings,Delhi Daredevils,DC   ,2008
40,Rajiv Gandhi Intl. Cricket Stadium ,Deccan Chargers,Punjab Kings,PBKS   ,2008
41,Sawai Mansingh Stadium ,Rajasthan Royals,Kolkata Knight Riders,RR   ,2008
42,Arun Jaitley Stadium ,Delhi Daredevils,Royal Challengers Bangalore,DC   ,2008
43,Eden Gardens ,Kolkata Knight Riders,Mumbai Indians,MI   ,2008
44,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Chennai Super Kings,CSK   ,2008
45,DY Patil Stadium ,Mumbai Indians,Deccan Chargers,SRH   ,2008
46,IS Bindra Stadium ,Punjab Kings,Delhi Daredevils,PBKS   ,2008
47,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Rajasthan Royals,RR   ,2008
48,M. A. Chidambaram Stadium ,Chennai Super Kings,Kolkata Knight Riders,CSK   ,2008
49,IS Bindra Stadium ,Punjab Kings,Mumbai Indians,PBKS   ,2008
